Item#	Noun	KnownProportion	Auditory_mean	Gustatory_mean	Haptic_mean	Olfactory_mean	Visual_mean	Auditory_sd	Gustatory_sd	Haptic_sd	Olfactory_sd	Visual_sd	DominantModality	Exclusivity	
136	powder	1	1	2	4	3	4	1	2	1	1	1	Visual	0	
137	preparation	1	2	1	2	2	3	1	1	1	2	1	Visual	0	
138	primary	1	1	0	0	1	2	1	1	1	1	1	Visual	0	
139	prize	1	2	1	3	1	4	1	1	1	1	1	Visual	0	
140	production	1	2	1	2	1	3	1	1	2	1	1	Visual	0	
141	property	1	1	0	2	1	4	1	1	2	1	1	Visual	0	
142	proportion	1	1	1	2	1	4	1	1	1	1	1	Visual	0	
143	quality	1	3	3	4	3	4	2	2	1	2	1	Visual	0	
144	reflection	1	0	0	0	0	5	1	0	1	1	1	Visual	1	
145	refrigerator	1	2	1	2	2	4	1	2	1	1	1	Visual	0	
146	relation	1	2	0	1	1	3	2	1	1	1	2	Visual	0	
147	republic	1	1	0	0	0	2	1	0	0	0	1	Visual	1	
148	rise	1	2	0	2	1	4	1	1	2	1	1	Visual	0	
149	role	1	2	0	0	0	3	2	0	1	0	1	Visual	0	
150	roof	1	1	0	2	0	4	1	0	1	0	1	Visual	1	
151	route	1	1	0	1	1	4	1	1	1	1	1	Visual	1	
152	rush	1	2	0	2	1	4	1	1	2	1	1	Visual	0	
153	sauce	1	1	5	1	4	4	1	1	1	1	1	Gustatory	0	
154	school	1	3	1	1	1	4	1	1	1	1	1	Visual	0	
155	second	1	1	0	1	0	2	1	1	1	1	2	Visual	0	
156	seed	1	1	2	3	1	4	1	1	1	1	1	Visual	0	
157	sergeant	1	3	0	0	0	4	1	0	1	1	1	Visual	1	
158	shell	1	1	1	4	1	4	1	1	1	1	1	Visual	0	
159	site	1	2	0	1	1	4	1	1	1	1	1	Visual	1	
160	slavery	1	3	0	0	1	4	1	1	1	1	1	Visual	0	
161	soap	1	0	1	4	4	4	1	1	1	1	1	Haptic	0	
162	socialist	1	3	0	0	0	3	1	0	1	0	1	Auditory	0	
163	solution	1	2	0	1	0	3	1	1	1	1	1	Visual	0	
164	spirit	1	2	0	1	1	2	2	1	1	1	1	Visual	0	
165	statement	1	3	0	1	0	3	2	1	1	1	1	Visual	0	
166	stay	1	2	0	1	0	3	1	1	1	1	1	Visual	0	
167	stop	1	3	1	2	1	4	2	1	2	1	1	Visual	0	
168	stranger	1	3	0	1	1	4	1	1	1	1	1	Visual	0	
169	strength	1	1	0	3	0	4	1	1	1	1	1	Visual	0	
170	student	1	3	0	2	1	4	1	0	1	1	1	Visual	0	
171	substitute	1	2	1	1	1	3	2	2	2	1	1	Visual	0	
172	symbol	1	1	0	1	1	4	1	1	1	1	1	Visual	0	
173	talent	1	4	1	1	1	5	1	2	2	2	1	Visual	0	
174	tendency	1	1	0	1	0	2	1	1	1	1	1	Visual	0	
175	text	1	2	0	1	0	5	2	0	1	0	1	Visual	1	
176	theme	1	2	1	1	1	3	1	1	1	1	1	Visual	0	
177	theory	1	2	0	0	0	2	1	1	1	1	2	Auditory	0	
178	thick	1	1	2	4	1	4	1	1	1	1	1	Visual	0	
179	three	1	2	0	3	0	4	1	1	2	1	1	Visual	0	
180	title	1	2	0	0	0	3	1	0	1	0	1	Visual	1	
181	tool	1	2	0	3	1	4	1	1	1	1	1	Visual	0	
182	track	1	2	0	1	1	4	2	0	1	1	2	Visual	0	
183	tractor	1	4	0	2	2	5	1	1	1	2	1	Visual	0	
184	trend	1	2	1	1	1	4	2	1	1	1	1	Visual	0	
185	trim	1	1	0	3	0	4	1	0	2	1	1	Visual	0	
186	vacuum	1	3	0	1	1	3	2	0	2	1	2	Visual	0	
187	variety	1	3	3	3	3	4	1	1	1	1	1	Visual	0	
188	vice	1	1	1	2	0	3	1	1	2	1	2	Visual	0	
189	view	1	1	0	0	1	5	1	1	1	1	1	Visual	1	
190	voluntary	1	1	0	1	0	3	1	0	1	1	2	Visual	1	
191	wait	1	1	0	1	0	2	1	1	1	1	2	Visual	0	
192	want	1	2	2	2	2	3	1	2	1	1	2	Visual	0	
193	waste	1	1	1	1	4	4	1	1	1	1	1	Visual	0	
194	welfare	1	2	0	1	1	3	1	1	2	1	1	Visual	0	
195	west	1	1	0	0	0	3	1	0	1	1	2	Visual	1	
196	wheel	1	2	0	2	0	5	1	1	2	1	1	Visual	0	
197	win	1	3	0	1	1	4	1	1	1	1	1	Visual	0	
198	window	1	1	0	3	0	5	1	1	1	1	0	Visual	0	
199	worker	1	3	0	1	1	4	1	0	1	1	1	Visual	0	
200	wrong	1	3	1	1	1	3	2	2	2	2	2	Visual	0	
201	admission	1	2	0	1	0	3	2	0	2	1	2	Visual	1	
202	advice	1	5	0	0	0	2	0	0	0	0	2	Auditory	1	
203	amateur	1	3	0	1	0	4	2	1	1	1	1	Visual	0	
204	anger	1	4	0	1	0	4	2	0	2	1	1	Visual	0	
205	answer	1	4	0	0	0	3	2	0	1	0	2	Auditory	1	
206	area	1	1	0	2	1	4	1	0	2	1	1	Visual	1	
207	aspect	1	2	1	1	1	2	2	1	1	2	2	Visual	0	
208	atom	1	1	1	1	1	1	2	1	2	1	2	Visual	0	
209	attempt	1	2	0	1	0	3	2	1	2	0	2	Visual	0	
210	aunt	1	4	0	3	2	4	1	0	1	1	1	Visual	0	
211	background	1	2	0	1	0	3	2	0	1	1	2	Visual	1	
212	band	1	5	0	1	0	4	1	0	2	1	1	Auditory	0	
213	base	1	1	0	2	0	3	2	1	2	0	1	Visual	0	
214	bath	1	3	0	5	3	4	2	1	1	2	1	Haptic	0	
215	belt	1	1	0	4	1	4	1	0	1	1	1	Visual	0	
216	body	1	3	1	4	3	5	2	2	1	2	0	Visual	0	
217	bone	1	2	1	4	1	3	2	2	1	2	2	Haptic	0	
218	boss	1	4	0	1	1	4	1	0	2	1	1	Visual	0	
219	break	1	3	1	3	1	3	2	2	2	1	2	Visual	0	
220	breath	1	2	2	2	3	2	2	2	2	2	1	Olfactory	0	
221	brief	1	2	0	1	1	2	2	1	1	1	2	Auditory	0	
222	builder	1	4	0	1	1	4	2	1	2	2	1	Visual	0	
223	bullet	1	3	0	3	1	4	2	0	2	1	2	Visual	0	
224	camp	1	3	1	2	2	4	2	1	2	2	1	Visual	0	
225	cash	1	2	0	4	1	4	2	1	1	2	1	Visual	0	
226	cause	1	2	0	1	0	3	2	1	1	1	2	Visual	0	
227	cellar	1	1	0	3	3	4	1	0	1	2	1	Visual	0	
228	century	1	2	0	0	0	2	2	0	0	1	2	Visual	0	
229	chart	1	1	0	1	0	4	1	0	1	0	2	Visual	1	
230	claim	1	3	0	1	0	2	2	0	1	0	2	Auditory	1	
231	close	1	2	0	3	1	4	2	1	2	2	1	Visual	0	
232	comedy	1	5	0	1	0	4	1	0	1	0	2	Auditory	1	
233	condition	1	3	1	3	2	4	2	1	2	2	1	Visual	0	
234	confidence	1	3	0	1	0	4	1	1	2	1	1	Visual	0	
235	construction	1	3	0	2	1	4	2	0	2	1	1	Visual	0	
236	content	1	2	1	3	1	4	2	2	2	2	1	Visual	0	
237	contract	1	3	0	2	0	4	2	0	2	0	2	Visual	0	
238	cotton	1	0	0	4	1	4	1	0	1	1	1	Haptic	0	
239	council	1	3	0	0	0	3	2	0	1	1	2	Visual	0	
240	cousin	1	4	0	3	2	5	1	0	1	2	1	Visual	0	
241	craft	1	2	0	3	1	4	2	1	2	1	1	Visual	0	
242	crime	1	4	0	1	0	4	2	0	2	0	1	Visual	0	
243	crisis	1	4	0	1	1	4	2	0	2	2	1	Visual	0	
244	cure	1	1	1	2	1	3	2	1	2	1	2	Visual	0	
245	curiosity	1	3	1	2	1	3	2	1	2	1	2	Visual	0	
246	curve	1	0	0	4	0	4	0	0	1	0	1	Visual	1	
247	customer	1	4	0	2	1	4	1	0	2	2	1	Visual	0	
248	death	1	2	0	2	2	4	2	0	2	2	2	Visual	0	
249	defeat	1	3	0	1	0	3	2	0	1	1	2	Visual	0	
250	delight	1	3	2	2	1	3	2	2	2	2	2	Visual	0	
251	depression	1	3	0	1	0	3	2	0	1	1	2	Visual	0	
252	desk	1	1	0	4	1	4	1	0	1	1	1	Visual	0	
